trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,0,-24.307800187298163,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-94.75640250975468,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,10.85630754848734,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",30,16,-33.362833225445776,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",25,0,7.4825964900412885,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,17,11.083637180266717,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,0,-60.7760076803969,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",30,0,-101.53663526370096,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",30,4,-45.39662676960737,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,5,-58.602526752684604,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,0,-11.813303937764456,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,0,-12.456696032347331,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,0,-4.293827494143403,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,0,2.335684814005439,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,13,9.915013127124233,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,8,-3.1620927633340967,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",25,13,-15.951442152444177,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,5,-8.405537890236344,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,11,-7.421960126196764,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,3,0.6823649782035743,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,0,-34.47534538629444,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,5,7.2525750105493945,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,0,-38.70662335078979,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,15,8.854411407568882,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,3,19.00374170664816,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",30,15,-21.38371853700674,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,3,-122.94954548616901,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 3}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",30,0,30.166445432543313,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,7,11.159840044324424,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,9,19.362217175827787,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,8,5.718943742856048,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",35,3,-19.288277987605543,"{0: 28, 1: 1, 2: 2, 3: 0, 4: 1}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",30,15,26.202414556148906,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",25,11,18.990593976995058,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,3,-36.14601056610395,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",30,15,23.156609632102743,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,3,20.0688842084146,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,14,12.16858861807337,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",30,18,-2.0591005145663908,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,0,-24.6457694371288,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,9,16.021989265094714,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,3,26.650993344975664,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",30,3,27.407939652805652,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,11,11.663343968545925,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299934}",20,0,12.98216629356286,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,9,7.3673101985850495,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",30,24,11.15355043582947,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,12,15.861965967935923,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.1403316058467367}",20,10,21.234589279672413,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,8,20.98396015533621,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.1205027693673666}",25,17,15.569713798510971,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006957}",25,11,18.76720923869411,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693172}",30,10,-5.48035728258772,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430967}",20,5,-19.163112243459764,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480062}",20,2,-0.8187435636488514,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",30,16,28.830147574619666,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,13,13.983542426143842,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,10,-2.9225536909190035,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,6,25.393601899204096,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.030791459082466124}",20,15,10.110685446183336,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.02079482780309243}",25,7,28.090811721666665,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",20,13,12.657225218261019,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",25,2,36.453501122246074,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,19.995431217998558,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
